q_id,question,collection
BNSS_to_CrPC_268,What does the chunk_id BNSS_to_CrPC_268 imply about the source and target statutes involved?,collection_map
BNSS_to_CrPC_268,"In the absence of textual content, what type of questions would be most appropriate to evaluate the BNSS_to_CrPC_268 mapping?",collection_map
BNSS_to_CrPC_268,"If you were to populate this chunk with CrPC section 268 content, what would be the most likely legal issue area to focus on?",collection_map
BNSS_to_CrPC_268,How would you annotate this chunk to indicate its empty text and its purpose within a larger dataset?,collection_map
BNSS_to_CrPC_268,What metadata fields would be necessary to locate the actual legal text corresponding to BNSS_to_CrPC_268 in a repository?,collection_map
BSA_to_IEA_132(3),What is the value of the 'chunk_id' field in the provided JSON chunk?,collection_map
BSA_to_IEA_132(3),What is the value of the 'doc_id' field in the provided JSON chunk?,collection_map
BSA_to_IEA_132(3),What is the value of the 'text' field in the provided JSON chunk?,collection_map
BSA_to_IEA_132(3),"Does the 'metadata' object contain any keys, and if so, what are they?",collection_map
BSA_to_IEA_132(3),"What components make up the 'chunk_id' value 'BSA_to_IEA_132(3)', and what might they signify about the source and section?",collection_map
BNSS_to_CrPC_197,What is the chunk_id of the dataset entry labeled BNSS_to_CrPC_197?,collection_map
BNSS_to_CrPC_197,"Is there any textual content provided under the ""text"" field for this chunk?",collection_map
BNSS_to_CrPC_197,"What is the value of the ""doc_id"" field in the chunk's JSON?",collection_map
BNSS_to_CrPC_197,"Which keys are present inside the ""metadata"" object of this chunk?",collection_map
BNSS_to_CrPC_197,"What is the current value of the ""text"" property in this chunk's payload?",collection_map
"BNS_to_IPC_115
(2)","What is the exact value of the 'chunk_id' field in this JSON fragment, including any newline characters?",collection_map
"BNS_to_IPC_115
(2)",Does the 'text' field in this chunk contain any actual legal text?,collection_map
"BNS_to_IPC_115
(2)",What is the value of the 'doc_id' field in this chunk?,collection_map
"BNS_to_IPC_115
(2)",What is the content of the 'metadata' field in this chunk?,collection_map
"BNS_to_IPC_115
(2)","In the chunk_id 'BNS_to_IPC_115 (2)', what is the numeric component and what might the '(2)' denote in a labeling scheme?",collection_map
BNSS_to_CrPC_527,"What is the exact value of the ""chunk_id"" field for this legal text chunk?",collection_map
BNSS_to_CrPC_527,"What is the value of the ""doc_id"" field in the provided chunk?",collection_map
BNSS_to_CrPC_527,"What is the value of the ""text"" field in the provided chunk?",collection_map
BNSS_to_CrPC_527,"What does the ""metadata"" field contain in this chunk (is it empty or populated)?",collection_map
BNSS_to_CrPC_527,"How many keys are present in the ""metadata"" field of this chunk?",collection_map
BNSS_to_CrPC_509,"What is the actual legal text contained in BNSS_to_CrPC_509, given the 'text' field is empty in this chunk?",collection_map
BNSS_to_CrPC_509,"Are there any section numbers, articles, or abbreviations defined in the BNSS_to_CrPC_509 chunk's metadata that should guide question generation?",collection_map
BNSS_to_CrPC_509,"Does BNSS_to_CrPC_509 propose a cross-reference between BNSS and the Criminal Procedure Code (CrPC), and if so, which sections or articles would be implicated?",collection_map
BNSS_to_CrPC_509,What is the official title of the document represented by BNSS_to_CrPC_509 and its jurisdiction?,collection_map
BNSS_to_CrPC_509,"Do the metadata fields in BNSS_to_CrPC_509 specify any act year, country, or statutory source that should inform the questions?",collection_map
BNS_to_IPC_358,What is the chunk_id of the provided legal text snippet?,collection_map
